model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
whisper-turbo,,beam,whisper,rover_freq,rover_cg,0,6,7,-0.37858089334897727,-0.5782540015843887,-0.1789077851135658,0.0531130163791038,0.8402245325589611,0
whisper-turbo,,sample,legacy,cm05,rover_cg,0,0,7,0.027858516420628327,-0.05828123002794687,0.11399826286920352,0.0,0.0,5
whisper-turbo,,sample,legacy,conf,mbr,0,0,7,-0.12307366028976016,-0.3184358155416577,0.07228849496213732,0.0,0.0,2
whisper-turbo,,sample,legacy,conf,rover_c,1,0,7,-0.05259699582253857,-0.2346265437445749,0.12943255209949775,0.0,0.0,2
whisper-turbo,,sample,legacy,conf,rover_cg,0,0,7,0.025812664897943892,-0.18381540904391477,0.23544073883980257,0.009928797480103281,0.1115599271694438,4
whisper-turbo,,sample,legacy,conf,rover_freq,0,0,7,-0.12543167895895221,-0.3136270150970293,0.06276365717912488,0.0,0.0,2
whisper-turbo,,sample,legacy,first,conf,5,0,7,0.8399486564093166,0.37631766428235447,1.3035796485362787,0.17766769850891254,0.5456255064170565,6
whisper-turbo,,sample,legacy,first,rover_cg,4,0,7,0.8810356377074257,0.3972620579418139,1.3648092174730375,0.2911803181907174,0.7847616797541944,7
whisper-turbo,,sample,legacy,mbr,rover_cg,2,0,7,0.1001586904548221,0.0036147734867591763,0.19670260742288503,0.0017098148127796635,0.09638790554924745,6
whisper-turbo,,sample,legacy,rover_freq,rover_cg,1,1,7,0.08276500969155631,-0.08171758947463761,0.24724760885775024,0.028437877154438736,0.6454321692665862,5
whisper-turbo,,sample,whisper,cm05,rover_cg,0,3,7,-0.2020399458979756,-0.3772307668781315,-0.026849124917819683,0.0301116588713875,0.6524845031889304,1
whisper-turbo,,sample,whisper,conf,mbr,0,0,7,-0.14008240975293187,-0.34390891026966186,0.06374409076379808,0.0,0.0,2
whisper-turbo,,sample,whisper,conf,rover_c,0,1,7,-0.15633518883032158,-0.3613769157421998,0.04870653808155667,0.0057144993008050576,0.06590471421977727,3
whisper-turbo,,sample,whisper,conf,rover_cg,0,2,7,-0.24982513645956533,-0.5887317963883252,0.08908152346919451,0.09135074640702949,0.5175094374182031,3
whisper-turbo,,sample,whisper,conf,rover_freq,0,0,7,-0.11001644122397074,-0.2965253075466477,0.07649242509870623,0.0,0.0,2
whisper-turbo,,sample,whisper,first,conf,5,0,7,0.854487597762771,0.3712739173385416,1.3377012781870004,0.21735154423712252,0.6221562747109788,6
whisper-turbo,,sample,whisper,first,rover_cg,4,0,7,0.6262753127948326,0.18123583342820387,1.0713147921614614,0.24509621936060907,0.7929575194524103,7
whisper-turbo,,sample,whisper,mbr,rover_cg,1,1,7,-0.05663070922102931,-0.22645696683142272,0.1131955483893641,0.031231033600059133,0.6999192975058453,3
whisper-turbo,,sample,whisper,rover_freq,rover_cg,0,4,7,-0.12700511270877948,-0.288398111795868,0.03438788637830903,0.03198852984682115,0.7731667594216151,3
