model,set,label,a,b,wer_a,wer_b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
drax,ls-tc-babble5,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,9.531000922896217,10.118298514976088,-0.5872975920798724,-1.059040759928474,-0.14565357376837693,0.2254403947089452,0.996,600,98,116,386,40,-1.1988254304982138,-0.11488140811903373,0.02065393354330638
drax,ls-tc-white5,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,7.257320244986995,7.4083396258075345,-0.15101938082053865,-0.4757118181463437,0.17835907733978246,0.17142417421949446,0.8195,600,85,88,427,40,-0.5138197133255945,0.19274523807645141,0.49348473128647696
drax,ls-test-clean,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,2.567329473949157,2.3827502307240542,0.18457924322510277,0.008162221113573344,0.37000979170708453,0.09268057598468939,0.0235,600,43,26,531,40,0.016201123527316966,0.3554674098980457,0.04857206403899658
drax,ls-test-other,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,6.3611555471911165,5.947115837018914,0.41403971017220287,0.12343834144648913,0.7073112478389473,0.14965058445030077,0.002,600,88,52,460,33,0.18806317012440912,0.6512604053487023,0.00835274343812942
drax,slr83,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,7.593712212817413,7.001209189842806,0.592503022974607,0.19416534958982465,0.9613473663178069,0.19777571717463277,0.0015,600,84,46,470,24,0.17291820798093202,1.0339828346570195,0.004663854953910715
drax,spgispeech,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,7.575332866152768,7.561317449194114,0.01401541695865452,-0.29272910751547904,0.31960625030423184,0.1548837901565976,0.4535,600,96,91,413,416,-0.2904225791984905,0.3064292314675649,0.9039890939790701
drax,voxpopuli,Drax standard vs MBR pick@main,first@ref/k1,mbr@main/k16,7.745954993490794,7.671564069183559,0.07439092430723451,-0.17980633000933408,0.31989438015852245,0.12686942718061064,0.2955,600,60,53,487,296,-0.17507164638122594,0.35671347688363253,0.6008854652315061
drax,ami,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,11.234705228031146,11.10493140526511,0.12977382276603633,-0.3539281204362524,0.5978992815932989,0.24262790764126252,0.32,600,68,58,474,16,-0.33107159083815274,0.6080774335515124,0.5619712835930877
drax,common_voice,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,12.639405204460967,13.085501858736059,-0.44609665427509293,-1.01336782177374,0.12466889103014751,0.28811830348700695,0.9425,455,36,48,371,455,,,0.18514251576498653
drax,earnings22,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,20.695842887050144,22.73950752666733,-2.043664639617187,-3.0943535582312363,-1.1183578985907074,0.5011694284393138,1.0,600,118,156,326,6,-3.2743245041927325,-1.3695968916949977,0.000538156628150153
drax,fleurs-de,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,8.428446005267778,7.936786654960492,0.4916593503072871,0.20533011599263562,0.7579897498889699,0.142160478849206,0.0005,546,106,65,375,300,0.1907158552743132,0.8052042888403701,0.0009765761248663372
drax,fleurs-en,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,9.552599758162032,9.635731559854896,-0.08313180169286578,-0.36112580182120596,0.18149301181115882,0.13818010003262973,0.75,600,85,96,419,345,-0.3546950443987767,0.19975157395409682,0.555624904376959
drax,fleurs-es,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,6.094588005850804,5.997074597757192,0.09751340809361288,-0.11666512830328858,0.3180171371526994,0.11212021932698685,0.1975,400,50,37,313,269,-0.12215080345864297,0.31715573933788915,0.28008805209737353
drax,fleurs-fr,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,11.384641962511877,11.168696553511273,0.21594540900060466,-0.06924795099195394,0.5042776547382727,0.14800183250777968,0.082,468,94,74,300,278,-0.05140595339837591,0.5044407893444416,0.13229063673257738
drax,fleurs-it,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,6.326187473728457,5.8743169398907105,0.45187053383774695,0.20781217984435402,0.710594510130039,0.12968438234028723,0.0005,400,70,38,292,262,0.2063268196850003,0.6997758749983277,0.000552026164728773
drax,fleurs-pt,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,12.56516650707522,12.065113309926588,0.5000531971486328,0.12097203532771862,0.8699503111843256,0.1905645108960771,0.0035,400,95,63,242,261,0.13250441015862097,0.8952703979062552,0.008112377803326402
drax,gigaspeech,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,14.106416828707795,13.91196747392611,0.1944493547816864,-0.19134103378993236,0.5740479031037276,0.19528120190087372,0.1705,600,96,86,418,117,-0.14032718183119028,0.5485911147298389,0.36535492391171887
drax,ls-dev-clean,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,2.659785629217944,2.7788805081381502,-0.11909487892020643,-0.3401864101345236,0.09328270529877057,0.11091932734216092,0.8725,400,22,28,350,40,-0.3229755563110427,0.08180318251605856,0.27710639709364726
drax,ls-dev-other,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,5.609284332688588,5.47112462006079,0.13815971262779772,-0.20520186967867707,0.4727931217453848,0.17385430512850675,0.2245,400,42,33,325,33,-0.14948916046387137,0.4071865037091491,0.3124974458034214
drax,ls-tc-babble0,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,34.95259669435355,36.85711888581257,-1.904522191459015,-2.7478227760490856,-1.077509580999004,0.42756634576462155,1.0,600,139,226,235,40,-2.788115720716273,-1.0521908896225185,2.228509083542847e-06
drax,ls-tc-babble10,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,4.178202869368236,4.111083144559108,0.06711972480912828,-0.13801341311884457,0.27935428121004807,0.10614775172091596,0.299,600,58,54,488,40,-0.1322762991340973,0.2753541560729455,0.5577072007027019
drax,ls-tc-babble5,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,8.952093296417484,9.421931370081383,-0.46983807366389796,-0.789276009852243,-0.15563946239432935,0.1642142127638907,0.997,600,75,111,414,40,-0.8297938122252897,-0.12979569707003974,0.003937003090586364
drax,ls-tc-white5,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,6.770702240120816,7.022401208155046,-0.2516989680342311,-0.5289299632481889,0.00822691607046539,0.13052262935938255,0.974,600,70,85,445,40,-0.5451921454004219,0.025862694326619837,0.06584575144468398
drax,ls-test-clean,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,2.3491903683194897,2.4079201275274773,-0.058729759207987245,-0.23611354325953238,0.10698597932659423,0.08913121405176613,0.7585,600,33,33,534,40,-0.22093493562809763,0.08321544478655238,0.5623298218983204
drax,ls-test-other,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,5.824785922649854,5.730685988519808,0.09409993413004611,-0.13000936435543253,0.3269032925573742,0.11853805290860932,0.2235,600,65,55,480,33,-0.08729550100945138,0.27519322954838893,0.4305838070314446
drax,slr83,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,7.049576783555018,6.831922611850061,0.21765417170495768,-0.07085650127910025,0.49213927558780085,0.14309470443184785,0.0705,600,58,42,500,24,-0.012482801741827317,0.5007302769405957,0.18369477977704296
drax,spgispeech,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,7.666433076384022,7.561317449194114,0.1051156271899089,-0.1119907049855396,0.34233189658793955,0.11533980281647925,0.1885,600,100,85,415,416,-0.11724268116656429,0.330625647344548,0.4349967650118943
drax,voxpopuli,ROVER@T=0.1 vs ROVER@main,rover_cg@ref/k4,rover_cg@main/k16,7.699460665798773,7.652966338106751,0.046494327692021574,-0.16870212940155566,0.2563506123409669,0.10940952132535578,0.349,600,57,54,489,296,-0.171769603880557,0.2742526756398211,0.5991413824292248
whisfusion,ami,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,37.49662800107904,33.261397356352845,4.235230644726194,3.166421432559381,5.390699309018328,0.5728946057583844,0.0,400,133,41,226,16,3.2225706063287975,5.1484993419839,2.7344170582430764e-11
whisfusion,common_voice,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,33.19327731092437,28.953399541634834,4.239877769289534,3.060754396943548,5.418016279948857,0.6153448370028722,0.0,296,90,26,180,296,,,4.2532661380963063e-10
whisfusion,earnings22,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,40.10711553175211,34.39938791124713,5.707727620504973,4.88633502648335,6.550846513978795,0.4232112274165683,0.0,400,216,43,141,6,4.78312384810607,6.378355247569699,1.1846473268587744e-28
whisfusion,fleurs-en,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,28.269848554382744,23.474070674621387,4.795777879761358,4.249894292835241,5.359292340861803,0.2928817160775587,0.0,400,243,27,130,280,4.166858751315948,5.441830194863371,2.8051284076205884e-36
whisfusion,gigaspeech,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,25.9254327563249,21.4780292942743,4.447403462050599,3.719098227923491,5.13526103191244,0.3602050272268168,0.0,400,200,48,152,112,3.6256695845523024,5.234575012800819,2.601560888698574e-25
whisfusion,ls-dev-clean,Whisfusion upstream (K=15 confidence) vs ROVER@main,conf@main/k15,rover_cg@main/k32,7.304485907105994,5.319571258435888,1.9849146486701073,1.5342276210618837,2.4738182321175572,0.24115345509730185,0.0,400,112,26,262,40,1.4350478390954027,2.529045826222626,5.282648626218725e-14
