model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
whisper-small,,beam,whisper,first,conf,0,0,7,-0.03542829561051999,-0.1392694624551106,0.06841287123407064,0.0,0.0,4
whisper-small,,beam,whisper,first,rover_cg,0,5,7,-2.3786106802387144,-2.991411452205597,-1.765809908271832,0.3502576485581389,0.6300346737892136,0
whisper-small,,beam,whisper,mbr,rover_cg,0,7,7,-2.5848695802153316,-3.2737934164445788,-1.8959457439860845,0.559488863070059,0.7583392448965552,0
whisper-small,,beam,whisper,rover_freq,rover_cg,0,1,7,-0.04167429305970275,-0.1656312197105158,0.08228263359111032,0.006339313477444936,0.23657756078721104,3
whisper-small,,greedy,whisper,cm05,rover_cg,0,7,7,-3.068586897131717,-4.147966578390426,-1.9892072158730083,1.9273244812160086,0.9353416868136679,0
whisper-small,,greedy,whisper,conf,rover_c,0,7,7,-3.068586897131717,-4.147966578390426,-1.9892072158730083,1.9273244812160086,0.9353416868136679,0
whisper-small,,greedy,whisper,conf,rover_cg,0,7,7,-3.068586897131717,-4.147966578390426,-1.9892072158730083,1.9273244812160086,0.9353416868136679,0
whisper-small,,greedy,whisper,conf,rover_freq,0,7,7,-3.068586897131717,-4.147966578390426,-1.9892072158730083,1.9273244812160086,0.9353416868136679,0
whisper-small,,greedy,whisper,first,rover_cg,0,7,7,-3.068586897131717,-4.147966578390426,-1.9892072158730083,1.9273244812160086,0.9353416868136679,0
whisper-small,,greedy,whisper,mbr,rover_cg,0,7,7,-3.068586897131717,-4.147966578390426,-1.9892072158730083,1.9273244812160086,0.9353416868136679,0
whisper-small,,sample,legacy,cm05,rover_cg,0,0,7,-0.05716086416306969,-0.18570152011927027,0.07137979179313088,0.0,0.0,0
whisper-small,,sample,legacy,conf,mbr,0,1,7,-0.4437417178064009,-1.6739552990754383,0.7864718634626364,1.2072790256070833,0.5516814960187555,4
whisper-small,,sample,legacy,conf,rover_c,0,1,7,-0.011147185741559498,-1.1403604224535935,1.1180660509704745,0.9006797276232518,0.4716456935570323,5
whisper-small,,sample,legacy,conf,rover_cg,0,1,7,-0.16810314121467673,-1.2709133062517999,0.9347070238224464,0.813089741490546,0.4391925157720736,5
whisper-small,,sample,legacy,conf,rover_freq,1,1,7,-0.2697655637080937,-1.383107448016768,0.8435763206005807,0.905936506140108,0.4952285247782984,4
whisper-small,,sample,legacy,first,conf,3,0,7,1.324432571526151,-0.02476834457193333,2.673633487624235,1.6475057564066364,0.6742493397836087,4
whisper-small,,sample,legacy,first,rover_cg,2,0,7,0.9932922991679374,0.3792023834496282,1.6073822148862464,0.3144407924320395,0.550897997665986,7
whisper-small,,sample,legacy,mbr,rover_cg,2,0,7,0.18927774519633564,-0.032203723089975406,0.41075921348264666,0.04581219536353464,0.6075495850949111,5
whisper-small,,sample,legacy,rover_freq,rover_cg,0,1,7,-0.010700738267444467,-0.19574004649424603,0.1743385699593571,0.028780871604700997,0.546584357611934,5
whisper-small,,sample,whisper,cm05,rover_cg,0,7,7,-3.2961783356940892,-4.457979781480333,-2.1343768899078457,2.1384139130859365,0.918439891649733,0
whisper-small,,sample,whisper,conf,mbr,0,1,7,-0.5949135254162017,-1.8696010496575404,0.679773998825137,1.2894824963154787,0.5535251512123441,3
whisper-small,,sample,whisper,conf,rover_c,0,4,7,-2.651056541813111,-4.288680634231489,-1.0134324493947326,2.635284124620881,0.6864650090395605,1
whisper-small,,sample,whisper,conf,rover_cg,0,4,7,-2.817287904549769,-4.4249595342632935,-1.2096162748362447,2.4989824857559078,0.6739666679426057,1
